RESOURCE_ID,GENERATION_UNIT_ID,NODE_ID,AGGE_TYPE,RESOURCE_TYPE,COMMENTS,EFF_START_DT_GMT,EFF_END_DT_GMT,EFF_START_DT,EFF_END_DT
MAYFIELD_7_G42,MAYFIELD_7_G42,MAYFIELD_7_G42GNODE,N,GEN,Comments,2022-03-02T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-03-02T00:00:00,2030-12-31T23:59:59
VICTOR_1_VDRYFB,VICTOR_1_VDRYFB,VICTOR_7_N008,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
GEMSTATE_1_UNIT,GEMSTATE_1_UNIT,GEMSTATE_NODET,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
SDP_2_SDCT9,SDP_2_SDCT9,SDP_GNODESDCT9,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
WP_6_WPGT1,WP_6_WPGT1,WP_GNODEWPGT1,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
TX-ELK_6_ECKSR2,TX-ELK_6_ECKSR2,ELKHILLS_7_N003,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
SUMFLTP_7_GEN,SUMFLTP_7_GEN,SUMFLTP_7_GENGNODE,N,GEN,Comments,2022-03-02T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-03-02T00:00:00,2030-12-31T23:59:59
MCK_GEN_7_DGGS3,MCK_GEN_7_DGGS3,MCK_GEN_7_DGGS3GNODE,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
HOOVER_2_VEADYN,HOOVER_2_VEADYN,MEADS_2_N101,N,TG,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
NCA2_6_UNIT,NCA2_6_UNIT,NCA2_GNODEIT,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
CRESSY_1_PARKER,CRESSY_1_PARKER,CRESSEY_1_N003,N,GEN,Comments,2022-04-15T07:00:00-00:00,2031-01-01T07:59:59-00:00,2022-04-15T00:00:00,2030-12-31T23:59:59
HLSR_7_SOLAR,HLSR_7_SOLAR,HLSR_GNODELSR,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
FC_5_PNM_FCST5,FC_5_PNM_FCST5,FC_5_PNM_FCST5GNODE,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
GRNVLY_7_SCLAND,GRNVLY_7_SCLAND,GRNVALY_1_N025,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
DSRTHV_2_DH2SR2,DSRTHV_2_DH2SR2,DSRTHV3_7_N002,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
PRINVSLR_1_SOLAR1,PRINVSLR_1_SOLAR1,PRINVSLR_1_SOLAR1GNODE,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
ALMEGT_1_UNIT 1,ALMEGT_1_UNIT 1,ALMDACT1_7_B1,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
CHEVCY_1_UNIT,CHEVCY_1_UNIT,CYMRIC_1_N004,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
ULTPCH_1_UCSBT1,ULTPCH_1_UCSBT1,CH.STN._7_N001,N,GEN,Comments,2022-02-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-02-01T00:00:00,2030-12-31T23:59:59
